wkr_nummer,wkr_name,land,land_nr,wbr,waehlende,gueltige,cdu,spd,afd,fdp,linke,gruene,csu,cdu_perc,spd_perc,afd_perc,fdp_perc,linke_perc,gruene_perc,csu_perc,wbt,auslaender,bevdichte,wohnflaeche,abitur,einkommen,bip,sozbesch,sgbII,alq,alter18_24,alter_25_34,==...,ost,alter18_34
1,Flensburg – Schleswig,SH,1,231536,180112,178625,36421,45508,10317,19189,7475,33300,NA,20.38964310706788,25.476836948915327,5.775787263820853,10.74261721483555,4.184744576627012,18.642407277816655,NA,77.14783014304471,8.4,137.1,49.3,34.2,21358,31178,345,76.8,7,8.4,12,TRUE,west,20.4
2,Nordfriesland – Dithmarschen Nord,SH,1,188267,145387,144145,35511,37926,8798,18350,4437,22588,NA,24.635609976065766,26.311006278400225,6.103576260015956,12.73023691421832,3.0781504734815637,15.670331957404002,NA,76.56413497851456,7.1,84.6,55.7,26.8,24354,34160,355.5,59.1,6.5,7.7,11,TRUE,west,18.7
3,Steinburg – Dithmarschen Süd,SH,1,176899,136299,135109,32842,37468,11303,18492,4524,19237,NA,24.30778112486955,27.73168330755168,8.365837953060122,13.686727013004315,3.348407582026364,14.238133655048888,NA,76.37635034680807,6.5,110.5,49.2,32.4,22292,31977,313.4,70.6,6.4,7.2,10.5,TRUE,west,17.7
4,Rendsburg-Eckernförde,SH,1,202226,162060,160955,38517,43148,10564,19322,5163,28828,NA,23.930291075145227,26.807492777484388,6.563325152993073,12.004597558323756,3.2077288683172314,17.910596129352925,NA,79.5916449912474,5.5,116.4,49.5,35.8,23410,29036,291.6,52.8,4.8,7,9.9,TRUE,west,16.9
5,Kiel,SH,1,202482,155986,155068,23920,40338,7654,16110,9430,44089,NA,15.425490752444091,26.01310392859907,4.935899089431733,10.388990636365982,6.08120308509815,28.432042716743624,NA,76.58359755435052,11.4,1879.2,39.4,42.5,19718,46128,490.7,125.2,8.4,10.6,17.2,TRUE,west,27.799999999999997
6,Plön – Neumünster,SH,1,174908,133721,132527,30290,38670,9741,15901,4232,23051,NA,22.855719966497393,29.178959759143417,7.350200336535197,11.998309778384781,3.1933115516083515,17.39343680910305,NA,75.76954741921467,8.7,171.2,45.8,37,22081,29053,329.6,75.8,6.7,7.2,10.6,TRUE,west,17.8
7,Pinneberg,SH,1,238388,191512,190270,42057,55693,13080,25663,6363,34291,NA,22.103852420244916,29.270510327429445,6.874441583013612,13.487675408629842,3.3441950911862093,18.022284122562674,NA,79.81525915734014,11.1,475.9,44.9,38.3,24708,29803,295,67.4,5.9,7.1,10.8,TRUE,west,17.9
8,Segeberg – Stormarn-Mitte,SH,1,249202,199618,198265,44285,56658,14527,27675,6468,33361,NA,22.336267117242077,28.57690464781984,7.327062265150178,13.95859077497289,3.262300456459789,16.826469623988096,NA,79.55995537756519,8,240.5,46,37.7,23952,31902,340.2,50.4,5,6.8,10.5,TRUE,west,17.3
9,Ostholstein – Stormarn-Nord,SH,1,183138,143092,141966,35564,42520,10073,17986,4036,22314,NA,25.05106856571292,29.950833298113633,7.095360861051238,12.66923066086246,2.8429342236873616,15.717847935421156,NA,77.51859253677554,5.7,143.9,51.6,31.5,23411,27539,312.3,50.7,6.1,6.3,9.3,TRUE,west,15.600000000000001
10,Herzogtum Lauenburg – Stormarn-Süd,SH,1,246277,196903,195587,45364,56422,14682,27725,6325,32475,NA,23.193770547122252,28.847520540731235,7.506633876484633,14.175277497993221,3.233855010813602,16.603864265007388,NA,79.41748518944117,8.6,236.8,46,41.6,24571,27988,295.7,54.1,5.1,6.6,9.8,TRUE,west,16.4
11,Lübeck,SH,1,179394,131455,130237,23628,39704,8827,13626,5785,29229,NA,18.142309789076837,30.485960210999945,6.777643833933521,10.462464583797232,4.441902070840084,22.442930964318897,NA,72.59830317624892,10,580,40.6,38,20404,42134,445.3,107.9,8.5,8.1,13.3,TRUE,west,21.4
12,Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I,MV,13,214853,156565,154163,26383,49271,24185,13242,16604,12419,NA,17.113704325940727,31.960327705091363,15.687940686156859,8.589609698825269,10.77041832346283,8.055759164001739,NA,71.75277980758938,6.7,73.9,44,36.3,19927,29893,385.2,78.7,8,5.5,10.9,TRUE,ost,16.4
13,Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I,MV,13,205042,146362,144104,24621,46846,24673,11638,14979,10147,NA,17.085577083217675,32.508466107811024,17.121662132904014,8.076111697107645,10.394576139454838,7.041442291678232,NA,70.28023526887173,4,63.3,45.5,33.4,20014,24594,308,57.6,6.8,4.9,9.5,TRUE,ost,14.4
14,Rostock – Landkreis Rostock II,MV,13,222705,165329,162977,23103,47280,20658,14852,21491,20941,NA,14.175619872742779,29.01022843714144,12.675408186431214,9.112942317014056,13.186523251747179,12.849052320266049,NA,73.18066500527604,5.5,278,39.9,44.1,19274,33708,413.7,76.3,7.9,7.6,13.9,TRUE,ost,21.5
15,Vorpommern-Rügen – Vorpommern-Greifswald I,MV,13,241066,168922,165779,30910,41583,31303,13776,18857,14654,NA,18.645304893864722,25.08339415728168,18.882367489247734,8.30985830533421,11.374782089408187,8.839479065502868,NA,68.76913376419735,4.7,84.7,44.6,30,19231,25124,332.1,74,11,6.2,11.3,TRUE,ost,17.5
16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II,MV,13,221421,154240,151038,28684,40339,35102,11438,15370,6616,NA,18.991247235794965,26.707848356042852,23.24050901097737,7.572928666957984,10.176247037169455,4.380354612746461,NA,68.21304212337583,3.8,53.8,46.3,34.5,18774,26109,352,82.9,9.9,4.8,9.1,TRUE,ost,13.899999999999999
17,Mecklenburgische Seenplatte II – Landkreis Rostock III,MV,13,209348,143622,140798,26402,42049,29421,10609,14434,7179,NA,18.751686813733148,29.864770806403502,20.895893407576814,7.53490816630918,10.251566073381724,5.098794016960468,NA,67.25547891549,3,40,45.4,34.8,19679,26866,342,72.8,8.5,4.5,9.1,TRUE,ost,13.6
18,Hamburg-Mitte,HH,2,242078,179637,178555,19982,51170,9100,18723,15593,49791,NA,11.190949567360198,28.65783652095993,5.096468875136512,10.485844697712189,8.732883425275126,27.885525468343086,NA,73.7592841976553,21.8,3043.7,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
19,Hamburg-Altona,HH,2,187705,152720,152095,22478,38865,5036,16543,13667,46162,NA,14.778921069068673,25.55310825470923,3.311088464446563,10.8767546599165,8.98583122390611,30.350767612347546,NA,81.02874190884633,15.5,3438.8,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
20,Hamburg-Eimsbüttel,HH,2,193823,160970,160365,23843,44911,5662,18190,10847,47983,NA,14.86795747201696,28.00548748168241,3.530695600660992,11.342874068531163,6.763944751036697,29.921117450815327,NA,82.73785876805127,13.2,5225.5,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
21,Hamburg-Nord,HH,2,219909,185457,184691,34387,51575,6811,26247,8741,46531,NA,18.618665771477765,27.925020710267418,3.687781212944865,14.211304286619272,4.732769869674212,25.193972635374763,NA,83.98519387564856,10.9,2514.4,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
22,Hamburg-Wandsbek,HH,2,233483,174014,172821,29103,59298,11290,19225,8852,32134,NA,16.83996736507716,34.3118023851268,6.532770901684402,11.124226801141065,5.122062712286122,18.59380515099438,NA,74.0186651704835,14.8,4149.9,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
23,Hamburg-Bergedorf – Harburg,HH,2,221794,158246,157017,25427,52523,12638,15674,9878,27931,NA,16.19378793379061,33.450518096766594,8.04881000146481,9.98235859811358,6.291038549965927,17.788519714425828,NA,70.7940701732238,20.8,1087.1,39,53.9,25029,64771,540,103.2,8.1,7.9,16.3,TRUE,west,24.200000000000003
